FacilityName,LicenseNumber,Status,IssueDate,StatusEffectivedate,LastRenewalDate,zipcode,City
ALLEGHENY HEALTH NETWORK CANCER INSTITUTE - BUTLER,PP482858,Active,2019-03-04,2019-03-04,2019-07-22,16001,BUTLER
ALLEGHENY HEALTH NETWORK CANCER INSTITUTE - FORBES,PP482849,Active,2019-02-07,2019-02-07,2019-07-22,15146,MONROEVILLE
ALLEGHENY HEALTH NETWORK CANCER INSTITUTE - JEFFERSON,PP482476,Active,2014-06-20,2014-06-20,2019-08-06,15025,JEFFERSON HILLS
ALLEGHENY HEALTH NETWORK CANCER INSTITUTE - WEXFORD,PP482514,Active,2014-09-26,2014-09-26,2019-08-06,15090,WEXFORD
ALLEGHENY HEALTH NETWORK HOME INFUSION,PP414278L,Active,1990-01-31,2012-10-31,2019-07-18,15215,SHARPSBURG
ALLEGHENY HEALTH NETWORK HOME INFUSION,PP413955L,Active,1987-09-03,2001-06-18,2019-07-19,16335,MEADVILLE
ALLEGHENY PLAZA PHARMACY,PP482889,Active,2019-05-22,2019-05-22,2019-08-06,19133,PHILADELPHIA
ALLE-KISKI MEDICALCENTER,HP418008L,Active,1977-07-22,2001-06-18,2019-07-17,15065,NATRONA HTS
ALLENS PHARMACY INC,PP410051L,Active,1977-07-08,2001-06-18,2019-07-23,18510,SCRANTON
ALLENTOWN PHARMACY INC,PP482224,Active,2011-12-01,2011-12-01,2019-07-16,18102,ALLENTOWN
"ALLIANCE MEDICATION SERVICES, LLC",PP482133,Active,2011-05-27,2015-06-09,2019-07-26,18252,TAMAQUA
"ALLIANCE PA PHARMACY, LLC",PP482847,Active,2019-02-05,2019-02-05,2019-07-30,19610,WYOMISSING
ALLIANCE PHARMACY COMPANY,PP414001L,Active,1987-12-18,2001-06-18,2019-07-22,19001,ABINGTON
ALLIANCERX WALGREENS PRIME #16287,PP415372L,Active,1998-04-23,2015-11-06,2019-07-31,15275,PITTSBURGH
ALLIED SERVICES PHARMACY,PP481775,Active,2007-12-04,2007-12-04,2019-08-01,18508,SCRANTON
ALLTOWN PHARMACY,PP481923,Active,2009-07-15,2009-07-15,2019-07-24,19053,FEASTERVILLE
ALTOONA PHARMACY,PP482174,Active,2011-10-26,2011-10-26,2019-07-29,16601,ALTOONA
AMBER PHARMACY,PP481535,Active,2006-01-12,2006-01-12,2019-08-06,19002,AMBLER
AMERICAN ONCOLOGIC HOSPITAL PHARMACY,HP418011L,Active,1977-07-27,2001-06-18,2019-07-17,19111,PHILADELPHIA
AMERICAN PHARMACY SERVICES INC,PP481200,Active,2003-04-04,2003-04-04,2019-07-16,18507,MOOSIC
AMERICUS PHARMACY,PP410059L,Active,1977-07-11,2001-06-18,2019-08-09,18104,ALLENTOWN
ANDERSON PHARMACY,PP410063L,Active,1977-07-11,2001-06-18,2019-08-06,17517,DENVER
ANDERSON PHARMACY/JOHN M,PP414568L,Active,1992-03-06,2001-06-18,2019-07-16,17517,DENVER
ANDREW BROWN'S DRUG STORE,PP482800,Active,2018-07-12,2018-07-12,2019-08-19,18433,JERMYN
ANDREW BROWNS DRUG STORE INC,PP410271L,Active,1977-07-11,2001-06-18,2019-08-07,18505,SCRANTON
"ANIMAL HEALTH INTERNATIONAL, INC.",PP482544,Active,2015-03-27,2017-10-30,2019-08-19,17552,MOUNT JOY
ANIMAL RX PHARMACY,PP481343,Active,2004-03-17,2011-11-10,2019-08-06,17022,ELIZABETHTOWN
ANTIETAM PHARMACY,PP412558L,Active,1981-08-19,2001-06-18,2019-07-16,17268,WAYNESBORO
ANUVA HEALTH PHARMACY,PP482886,Active,2019-05-07,2019-05-07,2019-08-08,19355,MALVERN
APEX PHARMACY,PP482331,Active,2013-01-15,2013-01-15,2019-08-26,19135,PHILADELPHIA
APOLLO PHARMACY,PP482667,Active,2016-08-15,2016-08-15,2019-08-26,19133,PHILADELPHIA
APOTHECARE PHARMACY AT SHOP AND SAVE,PP481833,Active,2008-06-05,2008-06-05,2019-07-24,15401,UNIONTOWN
APPLEBYS DRUG STORE,PP410070L,Active,1977-07-12,2001-06-18,2019-07-16,17066,MOUNT UNION
ARAMINGO PHARMACY,PP482865,Active,2019-03-20,2019-03-20,2019-07-22,19134,PHILADELPHIA
ARCH PHARMACY,PP411390L,Active,1984-06-05,2001-06-18,2019-07-17,19107,PHILADELPHIA
ARIA HEALTH - BUCKS COUNTY CAMPUS PHARMACY,HP418052L,Active,1977-09-12,2009-09-14,2019-08-13,19047,LANGHORNE
ARIA HEALTH - FRANKFORD CAMPUS PHARMACY,HP418069L,Active,1977-08-29,2009-09-14,2019-08-07,19124,PHILADELPHIA
ARIA HEALTH - TORRESDALE CAMPUS PHARMACY,HP418298L,Active,1977-07-25,2007-09-21,2019-08-21,19114,PHILADELPHIA
ARMOUR PHARMACY,PP482554,Active,2015-05-27,2015-05-27,2019-07-16,19428,CONSHOHOCKEN
ARMSTRONG COUNTY MEMORIAL HOSPITAL PHARMACY,HP418013L,Active,1977-10-19,2001-06-18,2019-07-29,162018808,KITTANNING
ASPIRE RX,PP482172,Active,2011-09-01,2013-04-30,2019-08-21,19104,PHILADELPHIA
ASPLUNDH CANCER PAVILION PHARMACY,PP482788,Active,2018-05-16,2018-05-16,2019-07-25,19090,WILLOW GROVE
"ASPN PHARMACIES 2, LLC",PP482787,Active,2018-05-14,2018-05-15,2019-07-18,19053,TREVOSE
ASTI'S LONG TERM CARE PHARMACY LLC,PP482202,Active,2012-01-20,2014-06-06,2019-07-16,15234,PITTSBURGH
ASTI'S SOUTH HILLS PHARMACY,PP481447,Active,2005-07-18,2005-07-18,2019-07-16,15234,PITTSBURGH
ASTON PHARMACY HOME HEALTH CENTER,PP410090L,Active,1977-08-23,2001-06-18,2019-07-29,19014,ASTON
ASTORINO FAMILY PHARMACY LLC,PP482356,Active,2013-03-18,2013-03-18,2019-07-16,16323,FRANKLIN
AUDUBON FAMILY PHARMACY INC,PP482854,Active,2019-02-22,2019-02-22,2019-07-29,19403,AUDUBON
AV PHARMACY,PP482694,Active,2016-11-21,2016-11-21,2019-07-17,19134,PHILADELPHIA
AVENUE PHARMACY,PP482007,Active,2010-05-04,2010-05-04,2019-08-05,19013,CHESTER
AYRES DRUG STORE,PP410097L,Active,1977-07-19,2001-06-18,2019-08-01,15132,MCKEESPORT
B & A PHARMACY,PP482584,Active,2015-09-03,2015-09-03,2019-08-02,19132,PHILADELPHIA
B & Y PHARMACY,PP482588,Active,2015-09-23,2015-09-23,2019-08-01,19145,PHILADELPHIA
BABIS PHARMACY,PP410099L,Active,1977-09-12,2001-06-18,2019-07-19,19066,MERION
BAEDERWOOD PHARMACY,PP410102L,Active,1977-07-18,2001-06-18,2019-08-08,19046,JENKINTOWN
BALLIET'S FAMILY PHARMACY AND GIFT SHOP,PP415493L,Active,1999-05-03,2001-06-18,2019-08-05,17801,SUNBURY
BANKS APOTHECARY,PP410111L,Active,1977-07-11,2015-10-27,2019-07-16,19053,TREVOSE
BARCLAY PRESCRIPTION PHARMACY,PP410115L,Active,1977-07-11,2001-06-18,2019-07-16,19103,PHILADELPHIA
BARNES KASSON HOSPITAL PHARMACY,HP418232L,Active,1977-07-18,2001-06-18,2019-07-29,18847,SUSQUEHANNA
BATH DRUG,PP413805L,Active,1986-06-23,2001-06-18,2019-07-25,18014,BATH
BAYSIDE PHAR AND PHYS SUPPLY CO,PP411870L,Active,1977-07-14,2001-06-18,2019-07-16,16507,ERIE
BEAVER FALLS HEALTH MART PHARMACY,PP482333,Active,2012-12-21,2012-12-21,2019-07-24,15010,BEAVER FALLS
BEAVER HEALTHMART PHARMACY,PP481683,Active,2007-01-25,2019-03-04,2019-07-22,15009,BEAVER
BECHTELS PHARMACY INC,PP411645L,Active,1977-07-26,2005-06-14,2019-07-25,18080,SLATINGTON
BEDWICKS PHARMACY INC,PP412380L,Active,1977-10-11,2001-06-18,2019-07-16,18702,WILKES BARRE
BELL APOTHECARY,PP412543L,Active,1977-07-12,2001-06-18,2019-07-16,18042,EASTON
BELL APOTHECARY INC,PP410598L,Active,1977-09-01,2001-06-18,2019-07-16,19104,PHILADELPHIA
BELLS MARKET PHARMACY,PP482005,Active,2010-05-26,2010-05-26,2019-07-24,19152,PHILADELPHIA
BELLS PHARMACY,PP481282,Active,2003-08-27,2003-08-27,2019-07-16,19152,PHILADELPHIA
BELMONT BEHAVIORAL HOSPITAL,HP418341L,Active,1980-08-11,2001-06-18,2019-08-09,191311689,PHILADELPHIA
BELSKI COMMUNITY PHARMACY INC,PP410456L,Active,1977-07-25,2001-06-18,2019-08-29,17851,MT CARMEL
BENECARD CENTRAL FILL,PP481892,Active,2008-12-09,2008-12-09,2019-08-08,17055,MECHANICSBURG
BENNETTS VALLEY PHARMACY INC,PP414214L,Active,1989-08-17,2001-06-18,2019-07-16,15868,WEEDVILLE
BENSALEM PHARMACY,PP481886,Active,2008-12-04,2013-01-30,2019-08-06,19020,BENSALEM
BENTLEYVILLE MEDICINE SHOPPE,PP482389,Active,2013-05-30,2013-05-30,2019-07-22,15314,BENTLEYVILLE
BERKS DISCOUNT PHARMACY,PP482444,Active,2014-01-14,2014-01-14,2019-08-05,19602,READING
BERLIN PHARMACY,PP412109L,Active,1977-07-06,2001-06-18,2019-07-22,15530,BERLIN
BERTOLINOS PHARMACY INC,PP410177L,Active,1977-07-12,2001-06-18,2019-07-16,19147,PHILADELPHIA
BERTS PHARMACY,PP410178L,Active,1977-07-14,2001-06-18,2019-07-22,18840,SAYRE
BERWICK COMMUNITY PHARMACY INC,PP482863,Active,2019-03-15,2019-03-15,2019-07-29,18603,BERWICK
BERWICK HOSPITAL CENTER INPATIENT PHARMACY,HP418017L,Active,1977-08-01,2003-09-16,2019-08-19,18603,BERWICK
BEST CARE PHARMACY,PP482610,Active,2015-12-30,2015-12-30,2019-08-02,19139,PHILADELPHIA
BEST CARE PHARMACY II,PP482731,Active,2017-06-21,2017-06-21,2019-08-02,19139,PHILADELPHIA
BEST CARE PHARMACY III,PP482801,Active,2018-07-19,2018-07-19,2019-08-02,19141,PHILADELPHIA
BETHLEHEM PHARMACY RX INC,PP482762,Active,2017-11-17,2017-11-17,2019-08-05,18015,BETHLEHEM
BEWARD PHARMACY,PP410027L,Active,1977-07-29,2001-06-18,2019-07-20,17059,MIFFLINTOWN
BHS RETAIL PHARMACY,PP482034,Active,2010-10-12,2010-10-12,2019-08-08,16001,BUTLER
BIANCARELLI'S PHARMACY LLC,PP482657,Active,2016-06-21,2016-06-21,2019-08-06,18452,PECKVILLE
"BIG SPRING PHARMACY, INC.",PP481806,Active,2008-02-12,2008-02-12,2019-08-05,17241,NEWVILLE
BILLS HOMETOWN PHARMACY,PP412521L,Active,1977-07-18,2016-02-16,2019-07-26,15239,PITTSBURGH
BILL'S SHOPRITE PHARMACY,PP481373,Active,2004-07-21,2005-08-05,2019-07-18,18344,MOUNT POCONO
BILL'S SHOPRITE PHARMACY,PP415521L,Active,1999-05-27,2001-06-18,2019-07-18,18444,COVINGTON TOWNSHIP
BIOSCRIP INFUSION SERVICES,PP481453,Active,2005-04-15,2005-04-15,2019-07-17,18512,DUNMORE
BIRDSBORO PHARMACY,PP413942L,Active,1987-07-23,2015-08-17,2019-07-18,19508,BIRDSBORO
BLACKBURNS PHYSICIANS PHARMACY,PP411868L,Active,1977-07-14,2001-06-18,2019-07-16,15084,TARENTUM
BLAIRSVILLE PHARMACY,PP412331L,Active,1977-07-11,2001-06-18,2019-07-16,15717,BLAIRSVILLE
BLAKESLEE PHARMACY,PP412175L,Active,1977-07-15,2001-06-18,2019-07-16,18610,BLAKESLEE
BLANDON PHARMACY,PP481887,Active,2009-02-10,2009-02-10,2019-07-16,19510,BLANDON
BLESSED PHARMACY,PP482074,Active,2010-11-01,2017-12-14,2019-08-10,19121,PHILADELPHIA
BLOOMFIELD DRUG,PP410208L,Active,1977-07-08,2001-06-18,2019-07-22,15224,PITTSBURGH
BLOOMFIELD PHARMACY INC,PP410209L,Active,1977-07-22,2001-06-18,2019-07-24,17068,NEW BLOOMFIELD
"BLOSS PHARMACY, INC.",PP411873L,Active,1977-07-13,2001-06-18,2019-07-16,16912,BLOSSBURG
BLUE MOUNTAIN COMPOUNDING,PP482197,Active,2012-04-13,2012-04-13,2019-08-05,18014,BATH
BLUE MOUNTAIN HOSPITAL,HP416526L,Active,1977-10-11,2001-06-18,2019-07-25,18235,LEHIGHTON
BLUEGRASS PHARMACY,PP481659,Active,2006-12-08,2006-12-08,2019-07-31,19114,PHILADELPHIA
BOOTHWYN APOTHECARY,PP482258,Active,2013-11-12,2017-04-04,2019-07-24,19061,BOOTHWYN
BOOTHWYN PHARMACY,PP410228L,Active,1977-09-29,2017-04-04,2019-07-18,19348,KENNETT SQUARE
"BOSWELL PHARMACY SERVICES, LLC",PP415379L,Active,1998-04-15,2006-11-17,2019-07-16,15547,JENNERSTOWN
BOSWELL PRESCRIPTION CENTER LLC,PP413535L,Active,1977-07-11,2001-06-18,2019-07-16,15531,BOSWELL
BRACEY PHARMACY,PP410237L,Active,1977-07-08,2001-06-18,2019-07-24,17921,ASHLAND
BRACKENS PHARMACY,PP410238L,Active,1977-09-01,2001-06-18,2019-07-24,16028,EAST BRADY
BRADFORD HOSPITAL PHARMACY,HP418021L,Active,1977-07-19,2001-06-18,2019-08-09,16701,BRADFORD
BRANDYWINE HOSPITAL,HP418041L,Active,1977-08-09,2001-06-18,2019-08-02,19320,COATESVILLE
BRANDYWINE PHARMACY,PP481669,Active,2006-12-14,2006-12-14,2019-07-16,19344,HONEY BROOK
BREWERYTOWN RX PHARMACY,PP482063,Active,2010-11-24,2010-11-24,2019-08-14,19130,PHILADELPHIA
BRIDESBURG PHARMACY,PP482392,Active,2013-05-30,2013-05-30,2019-08-14,19137,PHILADELPHIA
BRIDGE & PRATT FAMILY PHARMACY,PP415059L,Active,1995-07-31,2001-06-18,2019-08-14,19124,PHILADELPHIA
BRIDGEPORT FAMILY PHARMACY,PP482581,Active,2015-08-24,2015-08-24,2019-08-03,19405,BRIDGEPORT
BRIGHT MEDICAL TECHNOLOGY INC,PP481246,Active,2003-04-25,2003-04-25,2019-07-16,19152,PHILADELPHIA
BRIGHTON HEALTHMART PHARMACY,PP414182L,Active,1989-05-16,2001-06-18,2019-07-25,15066,NEW BRIGHTON
BRIOVARX INFUSION SERVICES 305 LLC,PP481927,Active,2009-07-30,2009-07-30,2019-08-06,19083,HAVERTOWN
BRISTOL DISCOUNT PHARMACY INC,PP482833,Active,2018-11-29,2018-11-29,2019-07-19,19007,BRISTOL
BROAD & GRANGE PHARMACY,PP481783,Active,2008-01-31,2008-01-31,2019-08-09,19141,PHILADELPHIA
"BROAD AND LEHIGH PHARMACY,INC",PP415177L,Active,1996-07-19,2013-08-26,2019-07-16,19132,PHILADELPHIA
BROAD STREET APOTHECARY,PP414268L,Active,1990-01-10,2001-06-18,2019-07-30,19145,PHILADELPHI
BROAD STREET FAMILY PHARMACY LLC,PP481922,Active,2009-07-29,2009-07-29,2019-08-05,19146,PHILADELPHIA
BROCKIE PHARMATECH,PP481482,Active,2005-08-03,2005-08-03,2019-08-14,17331,HANOVER
BROCKIE PHARMATECH,PP415001L,Active,1995-03-15,2001-06-18,2019-07-16,174055047,YORK
BROCKIE PHARMATECH,PP415755L,Active,2001-02-16,2001-06-18,2019-07-24,17402,YORK
BROCKIE PHARMATECH,PP413693L,Active,1985-08-27,2001-06-18,2019-07-16,190471622,LANGHORNE
BROCKWAY DRUG CO,PP410257L,Active,1977-07-08,2001-07-02,2019-07-16,15824,BROCKWAY
BROOKE GLEN BEHAVIORAL HOSPITAL PHARMACY,PP482259,Active,2012-03-05,2012-03-05,2019-07-24,19034,FORT WASHINGTON
BROOKHAVEN APOTHECARY,PP482692,Active,2016-11-15,2016-11-15,2019-07-31,19015,BROOKHAVEN
BROWNS PHARMACY,PP481524,Active,2006-01-09,2006-01-09,2019-07-17,16947,TROY
BROWNS PHARMACY,PP415334L,Active,1997-10-15,2001-06-18,2019-07-16,17724,CANTON
BROWNSVILLE FAMILY PHARMACY,PP481890,Active,2008-12-17,2019-03-18,2019-07-18,15417,BROWNSVILLE
BRUNDAGE'S WAYMART PHARMACY,PP415770L,Active,2001-07-03,2001-07-03,2019-07-23,18472,WAYMART
BRYN MAWR HOSPITAL,HP418024L,Active,1977-07-20,2001-06-18,2019-07-17,190103160,BRYN MAWR
BRYN MAWR REHABILITATION HOSPITAL,HP418310L,Active,1978-02-15,2001-06-18,2019-07-16,19355,MALVERN
BUCHANAN BROTHERS PHARMACY INC,PP412324L,Active,1977-07-12,2001-06-18,2019-07-24,16915,COUDERSPORT
BUCHANAN BROTHERS PHARMACY INC,PP411521L,Active,1977-07-11,2001-06-18,2019-07-24,16749,SMETHPORT
BUCHANAN BROTHERS PHARMACY INC,PP410609L,Active,1977-07-29,2001-06-18,2019-07-24,16920,ELKLAND
BUCHANAN BROTHERS PHARMACY INC,PP411741L,Active,1977-07-15,2001-06-18,2019-07-24,16950,WESTFIELD
BUCHANAN BROTHERS' PHARMACY INC,PP410940L,Active,1977-07-15,2001-06-18,2019-07-24,16731,ELDRED
BUENA SALUD PHARMACY,PP482651,Active,2016-05-26,2016-05-26,2019-08-02,19134,PHILADELPHIA
BURCH DRUG STORE,PP410295L,Active,1977-07-18,2001-06-18,2019-07-16,17824,ELYSBURG
BURNS PHARMACY,PP410305L,Active,1977-07-18,2001-06-18,2019-08-05,19067,MORRISVILLE
BURRELL HEALTH MART PHARMACY,PP481288,Active,2003-10-30,2005-09-02,2019-07-26,15068,LOWER BURRELL
BUSHY RUN PHARMACY INC,PP412338L,Active,1977-09-01,2001-06-18,2019-07-19,15636,HARRISON CITY
BUTLER MEMORIAL HOSPITAL PHARMACY,HP418026L,Active,1977-07-22,2001-06-18,2019-07-16,16001,BUTLER
CALLAGHANS PHARMACY INC,PP410332L,Active,1977-07-12,2001-06-18,2019-07-16,16323,FRANKLIN
CAMBRIA PHARMACIES INC,PP411736L,Active,1977-08-15,2001-06-18,2019-08-01,19133,PHILADELPHIA
CAMBRIA PHARMACIES INC,PP411737L,Active,1977-08-15,2001-06-18,2019-07-31,19133,PHILADELPHIA
CAMBRIA PHARMACIES INC,PP413813L,Active,1986-07-24,2001-06-18,2019-07-31,19133,PHILADELPHIA
CAMBRIDGE SPRINGS PHARMACY,PP481708,Active,2007-03-28,2007-03-28,2019-07-16,16403,CAMBRIDGE SPRINGS
CAMILLA HALL PHARMACY,PP414299L,Active,1990-04-05,2001-06-18,2019-07-16,19355,MALVERN
CAMPUS PHARMACY,PP482296,Active,2012-08-20,2012-08-20,2019-08-19,19104,PHILADELPHIA
CANCER CARE CENTER AT WARREN GENERAL HOSPITAL APOTHECARY,PP481265,Active,2003-11-06,2003-11-06,2019-07-19,16365,WARREN
CANONSBURG GENERAL HOSPITAL,PP415290L,Active,1997-08-11,2001-06-18,2019-08-01,15317,CANONSBURG
CANONSBURG GENERAL HOSPITAL,HP418250L,Active,1977-08-18,2001-06-18,2019-08-01,15317,CANONSBURG
CANTON PHARMACY,PP411639L,Active,1977-07-12,2001-06-18,2019-08-06,17724,CANTON
CANYONCARE RX,PP482768,Active,2017-12-21,2017-12-21,2019-08-14,15213,PITTSBURGH
CAPSTONE COMPOUNDING PHARMACY,PP410055L,Active,1977-08-19,2017-07-07,2019-07-22,19610,WYOMISSING
"CARDINAL HEALTH 414, LLC",PP410360L,Active,1977-07-20,2001-06-18,2019-08-07,15201,PITTSBURGH
"CARDINAL HEALTH 414, LLC",PP414863L,Active,1994-04-08,2001-06-18,2019-08-08,16635,DUNCANSVILLE
"CARDINAL HEALTH 414, LLC",PP412318L,Active,1980-11-20,2001-06-18,2019-08-09,17036,HUMMELSTOWN
"CARDINAL HEALTH 414, LLC",PP411677L,Active,1979-03-06,2005-03-11,2019-08-15,19079,SHARON HILL
"CARDINAL HEALTH 414, LLC",PP412871L,Active,1982-08-18,2001-06-18,2019-08-08,18020,BETHLEHEM
"CARE OPTIONS RX, LLC",PP482230,Active,2011-12-09,2011-12-09,2019-07-17,17201,CHAMBERSBURG
"CARE OPTIONS RX, LLC",PP414616L,Active,1992-06-30,2001-06-18,2019-07-16,17065,MT HOLLY SPRINGS
"CARE OPTIONS RX, LLC",PP481380,Active,2004-08-10,2004-08-10,2019-07-23,17055,MECHANICSBURG
"CARE OPTIONS RX, LLC",PP482200,Active,2011-10-17,2011-10-17,2019-07-23,17013,CARLISLE
CARE PARTNERS MEDICAL LLC,PP482500,Active,2014-10-28,2014-10-28,2019-08-05,189230105,FOUNTAINVILLE
CARE PLUS PHARMACY INC.,PP482409,Active,2013-12-19,2013-12-19,2019-07-19,19122,PHILADELPHIA
CARE TRUST PHARMACY,PP482545,Active,2015-04-09,2015-04-09,2019-07-17,19134,PHILADELPHIA
CARE-FILL LTC,PP482755,Active,2017-10-18,2017-10-18,2019-07-29,16125,GREENVILLE
CARE-FILL PHARMACY,PP482542,Active,2015-03-25,2015-03-25,2019-07-30,16125,GREENVILLE
CAREFORM PHARMACY,PP482861,Active,2019-03-13,2019-03-13,2019-08-01,15017,BRIDGEVILLE
CARESITE PHARMACY,PP415692L,Active,2000-08-15,2014-04-30,2019-07-16,18503,SCRANTON
CARESITE PHARMACY,PP414263L,Active,1990-01-03,2017-04-27,2019-07-16,17821,DANVILLE
CARESITE PHARMACY,PP414387L,Active,1990-11-20,2001-06-18,2019-07-16,18702,WILKES BARRE
CARESITE PHARMACY,PP482126,Active,2011-04-15,2011-04-15,2019-07-16,18612,DALLAS
CARESITE PHARMACY,PP482708,Active,2017-02-22,2017-02-22,2019-07-16,17824,ELYSBURG
