index,AddressLine1,AddressLine2,AddressLine3,AddressLine4,BoardName,City,ComplaintFromDate,ComplaintNumber,ComplaintToDate,Country,CountryShortCode,County,DisciplinaryAction,DisciplinaryActionTypeId,DoingBusinessAs,Emailid1,FacilityName,FacilityStreetAddress,FictitiousName,FirstName,FullName,IsFacility,IsPersonFacility,LastName,LicenceType,LicenseId,LicenseNumber,LicenseTypeId,McareCourtFiled,McareDocketNumber,McareServed,MiddleName,NameSuffix,OptPersonFacility,PageNo,PersonId,PhoneNo1,ProfessionID,ProfessionType,RecaptchaResponse,RequestedFileId,RequestedFileName,Row,State,Status,TotalRecords,zipcode
35,,,,"PITTSBURGH, PA 15212",State Board of Pharmacy,Pittsburgh,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Allegheny,,,,,AGH APOTHECARY,"320 EAST NORTH AVE SUITE 111  PITTSBURGH, PA 15212",,,,0,False,,Pharmacy,1307440,PP482004,,,,,,,,0,2473389,4123598696,,Pharmacy,,,,36,Pennsylvania,Active,7585,15212
36,,,,"PHILADELPHIA, PA 19107",State Board of Pharmacy,Philadelphia,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Philadelphia,,,,,AHF PHARMACY,"1211 CHESTNUT ST., STE 405   PHILADELPHIA, PA 19107",,,,0,False,,Pharmacy,3391018,PP482779,,,,,,,,0,3087432,,,Pharmacy,,,,37,Pennsylvania,Active,7585,19107
37,,,,"WEXFORD, PA 15090",State Board of Pharmacy,Wexford,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Allegheny,,,,,AHN PHARMACY,"12311 PERRY HWY  STE F   WEXFORD, PA 15090",,,,0,False,,Pharmacy,1044159,PP482517,,,,,,,,0,2817898,,,Pharmacy,,,,38,Pennsylvania,Active,7585,15090
38,,,,"PITTSBURGH, PA 15224",State Board of Pharmacy,Pittsburgh,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Allegheny,,,,,AHN PHARMACY #2,"4800 FRIENDSHIP AVE STE 1422   PITTSBURGH, PA 15224",,,,0,False,,Pharmacy,1874547,PP482546,,,,,,,,0,2854495,,,Pharmacy,,,,39,Pennsylvania,Active,7585,15224
39,,,,"PITTSBURGH, PA 15222",State Board of Pharmacy,Pittsburgh,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Allegheny,,,,,AHN PHARMACY #5,"120 5TH AVENUE  STE 300  PITTSBURGH, PA 15222",,,,0,False,,Pharmacy,1035190,PP481975,,,,,,,,0,2460948,4127880438,,Pharmacy,,,,40,Pennsylvania,Active,7585,15222
40,,,,"PHILADELPHIA, PA 19141",State Board of Pharmacy,PHILADELPHIA,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Philadelphia,,,,,ALBERT EINSTEIN MEDICAL CENTER PHARMACY,"5501 OLD YORK ROAD   PHILADELPHIA, PA 19141",,,,0,False,,Pharmacy,1336604,HP418002L,,,,,,,,0,497604,,,Pharmacy,,,,41,Pennsylvania,Active,7585,191413098
41,,,,"PITTSTON, PA 18640",State Board of Pharmacy,Pittston,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Luzerne,,,,,ALBERT'S PHARMACY,"201 S MAIN STREET STE 2   PITTSTON, PA 18640",,,,0,False,,Pharmacy,3127563,PP482169,,,,,,,,0,2581275,,,Pharmacy,,,,42,Pennsylvania,Active,7585,18640
42,,,,"ALBION, PA 16401",State Board of Pharmacy,ALBION,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Erie,,,,,ALBION PHARMACY,"9 EAST STATE STREET   ALBION, PA 16401",,,,0,False,,Pharmacy,1387498,PP410032L,,,,,,,,0,1056641,,,Pharmacy,,,,43,Pennsylvania,Active,7585,16401
43,,,,"LEWISBURG, PA 17837",State Board of Pharmacy,LEWISBURG,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Union,,,,janette.paquet@albrightcare.org,ALBRIGHT PHARMACY SERVICES,"110 MAPLEWOOD DRIVE   LEWISBURG, PA 17837",,,,0,False,,Pharmacy,1363482,PP415550L,,,,,,,,0,1061670,5705232941,,Pharmacy,,,,44,Pennsylvania,Active,7585,17837
44,,,,"PHILADELPHIA, PA 19111",State Board of Pharmacy,Philadelphia,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Philadelphia,,,,,ALEXA PHARMACY LLC,"919 TYSON AVENUE   PHILADELPHIA, PA 19111",,,,0,False,,Pharmacy,2401920,PP482379,,,,,,,,0,2709298,,,Pharmacy,,,,45,Pennsylvania,Active,7585,19111
45,,,,"BRIDGEVILLE, PA 15017",State Board of Pharmacy,Bridgeville,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Allegheny,,,,,"ALIXA RX LLC, D/B/A ALIXA RX","1041 WASHINGTON PIKE STE #100  BRIDGEVILLE, PA 15017",,,,0,False,,Pharmacy,766393,PP482264,,,,,,,,0,2630394,,,Pharmacy,,,,46,Pennsylvania,Active,7585,15017
46,,,,"PHILADELPHIA, PA 19134",State Board of Pharmacy,PHILADELPHIA,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Philadelphia,,,,,ALLEGHENY APOTHECARY,"2244 E ALLEGHENY AVENUE   PHILADELPHIA, PA 19134",,,,0,False,,Pharmacy,1377489,PP415064L,,,,,,,,0,1061207,,,Pharmacy,,,,47,Pennsylvania,Active,7585,19134
47,,,,"PITTSBURGH, PA 15224",State Board of Pharmacy,PITTSBURGH,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Allegheny,,,,,ALLEGHENY CO HEALTH DEPT PHARMACY,"3901 PENN AVENUE   PITTSBURGH, PA 15224",,,,0,False,,Pharmacy,1334196,HP418256L,,,,,,,,0,497812,,,Pharmacy,,,,48,Pennsylvania,Active,7585,15224
48,,,,"PHILADELPHIA, PA 19132",State Board of Pharmacy,Philadelphia,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Philadelphia,,,,,ALLEGHENY DISCOUNT PHARMACY,"2704-06 W ALLEGHENY AVENUE   PHILADELPHIA, PA 19132",,,,0,False,,Pharmacy,3105743,PP482441,,,,,,,,0,2754311,,,Pharmacy,,,,49,Pennsylvania,Active,7585,191321223
49,,,,"PITTSBURGH, PA 15212",State Board of Pharmacy,PITTSBURGH,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Allegheny,,,,,ALLEGHENY GENERAL HOSPITAL PHARMACY,"320 E NORTH AVENUE   PITTSBURGH, PA 15212",,,,0,False,,Pharmacy,1326466,HP418007L,,,,,,,,0,497608,,,Pharmacy,,,,50,Pennsylvania,Active,7585,15212
50,,,,"MONACA, PA 15061",State Board of Pharmacy,MONACA,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Beaver,,,,Jodi.Lech@ahn.org,ALLEGHENY HEALTH NETWORK CANCER INSTITUTE - BEAVER,"81 WAGNER ROAD   MONACA, PA 15061",,,,0,False,,Pharmacy,3488552,PP482884,,,,,,,,0,3240746,,,Pharmacy,,,,1,Pennsylvania,Active,7585,15061
51,,,,"BUTLER, PA 16001",State Board of Pharmacy,BUTLER,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Butler,,,,Jodi.Lech@ahn.org,ALLEGHENY HEALTH NETWORK CANCER INSTITUTE - BUTLER,"160 HOLLYWOOD DRIVE   BUTLER, PA 16001",,,,0,False,,Pharmacy,3473471,PP482858,,,,,,,,0,3240737,,,Pharmacy,,,,2,Pennsylvania,Active,7585,16001
52,,,,"MONROEVILLE, PA 15146",State Board of Pharmacy,MONROEVILLE,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Allegheny,,,,jodi.lech@ahn.org,ALLEGHENY HEALTH NETWORK CANCER INSTITUTE - FORBES,"2626 HAYMAKER ROAD   MONROEVILLE, PA 15146",,,,0,False,,Pharmacy,3468619,PP482849,,,,,,,,0,3240754,,,Pharmacy,,,,3,Pennsylvania,Active,7585,15146
53,,,,"JEFFERSON HILLS, PA 15025",State Board of Pharmacy,Jefferson Hills,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Allegheny,,,,,ALLEGHENY HEALTH NETWORK CANCER INSTITUTE - JEFFERSON,"575 COAL VALLEY RD  4TH FL   JEFFERSON HILLS, PA 15025",,,,0,False,,Pharmacy,388862,PP482476,,,,,,,,0,2782035,,,Pharmacy,,,,4,Pennsylvania,Active,7585,15025
54,,,,"WEXFORD, PA 15090",State Board of Pharmacy,Wexford,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Allegheny,,,,,ALLEGHENY HEALTH NETWORK CANCER INSTITUTE - WEXFORD,"12311 PERRY HIGHWAY SUITE A   WEXFORD, PA 15090",,,,0,False,,Pharmacy,1018572,PP482514,,,,,,,,0,2816113,,,Pharmacy,,,,5,Pennsylvania,Active,7585,15090
55,,,,"SHARPSBURG, PA 15215",State Board of Pharmacy,Sharpsburg,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Allegheny,,,,ablake@infusionpartners.com,ALLEGHENY HEALTH NETWORK HOME INFUSION,"311 23RD STREET EXT, SUITE 500   SHARPSBURG, PA 15215",,,,0,False,,Pharmacy,1383308,PP414278L,,,,,,,,0,1060456,4129679399,,Pharmacy,,,,6,Pennsylvania,Active,7585,15215
56,,,,"MEADVILLE, PA 16335",State Board of Pharmacy,MEADVILLE,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Crawford,,,,juliannes@vhcn.com,ALLEGHENY HEALTH NETWORK HOME INFUSION,"1305 SOUTH MAIN STREET   MEADVILLE, PA 16335",,,,0,False,,Pharmacy,1355744,PP413955L,,,,,,,,0,1060133,8143339449,,Pharmacy,,,,7,Pennsylvania,Active,7585,16335
57,,,,"PHILADELPHIA, PA 19133",State Board of Pharmacy,Philadelphia,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Philadelphia,,,,dddarbouze@gmail.com,ALLEGHENY PLAZA PHARMACY,"400 W. ALLEGHENY AVENUE   PHILADELPHIA, PA 19133",,,,0,False,,Pharmacy,3495278,PP482889,,,,,,,,0,3249028,,,Pharmacy,,,,8,Pennsylvania,Active,7585,19133
58,,,,"NATRONA HTS, PA 15065",State Board of Pharmacy,NATRONA HTS,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Allegheny,,,,,ALLE-KISKI MEDICALCENTER,"1301CARLISLE STREET   NATRONA HTS, PA 15065",,,,0,False,,Pharmacy,1340943,HP418008L,,,,,,,,0,497609,,,Pharmacy,,,,9,Pennsylvania,Active,7585,15065
59,,,,"SCRANTON, PA 18510",State Board of Pharmacy,SCRANTON,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Lackawanna,,,,,ALLENS PHARMACY INC,"402 PRESCOTT AVENUE   SCRANTON, PA 18510",,,,0,False,,Pharmacy,1387268,PP410051L,,,,,,,,0,1056657,,,Pharmacy,,,,10,Pennsylvania,Active,7585,18510
60,,,,"ALLENTOWN, PA 18102",State Board of Pharmacy,Allentown,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Lehigh,,,,,ALLENTOWN PHARMACY INC,"416 WEST TILGHMAN STREET   ALLENTOWN, PA 18102",,,,0,False,,Pharmacy,294932,PP482224,,,,,,,,0,2603833,,,Pharmacy,,,,11,Pennsylvania,Active,7585,18102
61,,,,"TAMAQUA, PA 18252",State Board of Pharmacy,Tamaqua,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Schuylkill,,,,andre@alliancemeds.com,"ALLIANCE MEDICATION SERVICES, LLC","88 MAHANOY AVE   TAMAQUA, PA 18252",,,,0,False,,Pharmacy,2723743,PP482133,,,,,,,,0,2550558,2152930130,,Pharmacy,,,,12,Pennsylvania,Active,7585,18252
